method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_1step,Qwen/Qwen3-0.6B,42,1,0.0028,0.000276,,,,,0.0,4.6008578891143515e-12,0.0,23,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,43,1,0.6228,0.050714,,,,,0.0001,1.1860690771804977e-19,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,44,1,0.0,0.0,,,,,0.0004,3.1526318142621293e-18,0.0,24,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,45,1,0.0,0.0,,,,,0.0126,9.9145103238385e-10,0.0,22,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,46,1,1.0,0.094286,,,,,0.0,2.604622841964437e-28,0.0,22,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,47,1,0.7977,0.068374,,,,,0.0007,8.402194972401995e-25,0.0,20,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,48,1,0.9984,0.034231,,,,,0.0005,5.578826335390799e-16,0.0,8,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,49,1,0.9857,0.063366,,,,,0.0014,3.529056482026329e-18,0.0,15,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,0,5,1.0,0.047143,,,,,0.0018,1.5415031400952937e-38,0.0,11,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,1,5,0.999,0.068503,,,,,0.0064,1.6908758520939854e-28,0.0,16,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,2,5,1.0,0.115714,,,,,0.0,4.203895392974451e-45,0.0,27,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,3,5,0.9991,0.089919,,,,,0.0,4.621656168171051e-32,0.0,21,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,4,5,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,5,5,0.0,0.0,,,,,0.0159,1.3208736326930648e-08,0.0,22,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,6,5,1.0,0.085714,,,,,0.0,0.0,0.0,20,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,7,5,0.9801,0.088209,,,,,0.0002,0.0,0.0,21,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,8,5,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,9,5,1.0,0.072857,,,,,0.0,0.0,0.0,17,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,10,5,1.0,0.072857,,,,,0.0,0.0,0.0,17,synthetic_approx
