method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
MEMIT,Qwen/Qwen3-0.6B,4,1,0.9995,1.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,5,1,0.9868,0.3333333333333333,,0.0,0.5,,0.0161,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,6,1,0.8916,0.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,7,1,0.9849,0.3333333333333333,,0.6666666666666666,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,8,1,0.9995,0.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,9,1,0.9629,0.3333333333333333,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,10,1,0.9976,0.3333333333333333,,0.0,0.5,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,11,1,0.999,1.0,,0.0,1.0,,0.0047,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,12,1,0.9727,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,13,1,0.9526,0.6666666666666666,,0.3333333333333333,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,14,1,0.9663,1.0,,0.0,1.0,,0.0005,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,15,1,0.998,0.3333333333333333,,0.0,0.5,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,16,1,0.9995,0.3333333333333333,,0.0,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,17,1,0.9995,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,18,1,0.9976,1.0,,0.0,1.0,,0.0005,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,19,1,0.9985,0.0,,0.3333333333333333,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,20,1,0.9771,0.3333333333333333,,0.0,1.0,,0.0006,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,21,1,0.873,1.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,22,1,0.9966,1.0,,0.0,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,23,1,0.9927,0.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,24,1,0.9985,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,25,1,0.7119,0.0,,0.3333333333333333,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,26,1,0.9888,0.0,,0.0,0.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,27,1,0.9619,0.6666666666666666,,0.3333333333333333,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,28,1,0.9976,0.6666666666666666,,0.0,0.0,,0.1039,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,29,1,0.9814,0.0,,0.0,0.5,,0.0022,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,30,1,0.9961,1.0,,0.0,1.0,,0.0016,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,31,1,0.9971,0.0,,0.0,1.0,,0.0001,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,32,1,0.9956,0.6666666666666666,,0.0,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,33,1,0.9854,1.0,,0.0,1.0,,0.0009,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,34,1,0.9106,0.3333333333333333,,0.6666666666666666,0.0,,0.0001,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,35,1,0.9985,0.0,,0.0,1.0,,0.0001,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,36,1,0.9722,0.6666666666666666,,0.0,1.0,,0.0009,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,37,1,0.9893,1.0,,0.0,0.5,,0.0004,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,38,1,0.9985,1.0,,0.0,1.0,,0.0001,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,39,1,0.999,0.0,,0.3333333333333333,1.0,,0.0002,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,40,1,0.999,0.0,,0.0,0.5,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,41,1,0.9746,1.0,,0.0,1.0,,0.0011,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,42,1,0.9761,0.3333333333333333,,0.3333333333333333,0.5,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,43,1,0.9941,1.0,,0.0,1.0,,0.0001,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,44,1,0.9648,0.0,,0.0,1.0,,0.0004,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,45,1,0.9907,0.3333333333333333,,0.0,1.0,,0.0125,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,46,1,1.0,0.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,47,1,0.9995,0.6666666666666666,,0.0,1.0,,0.0007,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,48,1,0.9985,1.0,,0.0,1.0,,0.0005,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,49,1,0.9722,0.6666666666666666,,0.0,1.0,,0.0014,,,,baseline_live
