pair_idx,condition,method,A_idx,B_idx,A_subject,B_subject,A_relation,B_relation,n_mlp_A,n_mlp_B,n_attn_A,n_attn_B,p_new_A_solo,p_new_B_solo,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,p_true_A_postAB,p_true_B_postAB,kl_A_solo,kl_B_solo,kl_postA,kl_postAB,retention_A,retention_A_abs,success_B,kl_super_additivity,status,A_displaced,B_installed,n_mlp_total,n_attn_total,kl_A_quartile
0,shared,ACDC,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,2,9,0.9999610185623169,1.0,0.9999610185623169,1.2310644040627872e-13,1.0,4.111975571077335e-20,2.6070018203620688e-33,9.90215015411377,40.25829315185547,9.90215015411377,31.41852569580078,1.2311123945938779e-13,1.2310644040627872e-13,1.0,-18.741917610168457,ok,0.9999610185621938,1.0,17,11,"Q1
(low)"
0,shared,ROMEtrace,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,5,5,0,0,0.9995371103286743,0.9995872378349304,0.9995371103286743,0.9989907145500183,1.0,5.1362697693100545e-20,3.372925403629835e-42,14.506574630737305,19.401268005371094,14.506574630737305,35.174320220947266,0.9994533511832528,0.9989907145500183,1.0,1.2664775848388672,ok,0.0005463957786560059,1.0,10,0,Q2
0,shared,Random,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,0,0,0.9999980330467224,0.0017576012760400772,0.9999980330467224,0.9999986886978149,0.999997079372406,9.151069198954229e-38,6.260296174838083e-32,15.68795394897461,16.56180763244629,15.68795394897461,21.984691619873047,1.0000006556523822,0.9999986886978149,0.999997079372406,-10.265069961547852,ok,0.0,0.999997079372406,17,0,Q2
1,shared,ACDC,231,2065,Italy,Italy,P37,P463,8,12,5,4,0.9912773966789246,1.0,0.9912773966789246,2.843703157395794e-07,0.9999985694885254,1.876962273020359e-21,1.0655891876458797e-34,39.10547637939453,38.821556091308594,39.10547637939453,30.360855102539062,2.868725915594413e-07,2.843703157395794e-07,0.9999985694885254,-47.56617736816406,ok,0.9912771123086088,0.9999985694885254,20,9,"Q4
(high)"
1,shared,ROMEtrace,231,2065,Italy,Italy,P37,P463,5,5,0,0,0.9775012731552124,0.9999991059303284,0.9775012731552124,0.6663076877593994,1.0,2.497380286511225e-13,0.0,23.049108505249023,25.838333129882812,23.049108505249023,22.865436553955078,0.6816438055458163,0.6663076877593994,1.0,-26.022005081176758,ok,0.311193585395813,1.0,10,0,Q3
2,shared,ACDC,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,4,3,0.9999964237213135,7.193495960547988e-18,0.9999964237213135,1.1142797195194416e-14,1.0,5.1750047936193644e-31,1.1045034495808208e-41,12.563333511352539,37.12962341308594,12.563333511352539,39.144813537597656,1.1142837045085047e-14,1.1142797195194416e-14,1.0,-10.54814338684082,ok,0.9999964237213024,1.0,18,7,"Q1
(low)"
2,shared,ROMEtrace,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,5,5,0,0,0.9999957084655762,1.569727885453176e-07,0.9999957084655762,1.5467339409269698e-08,9.88256587675096e-10,2.1402346041254905e-12,1.8909275187328767e-12,31.98914337158203,12.990933418273926,31.98914337158203,20.318748474121094,1.5467405788174086e-08,1.5467339409269698e-08,9.88256587675096e-10,-24.661328315734863,ok,0.9999956929982368,9.88256587675096e-10,10,0,Q3
2,shared,Random,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,0,0,0.9999615550041199,1.0,0.9999615550041199,5.372477462736627e-16,1.0,3.526567917606897e-25,2.802596928649634e-45,12.079540252685547,48.234317779541016,12.079540252685547,41.411521911621094,5.37268401555147e-16,5.372477462736627e-16,1.0,-18.90233612060547,ok,0.9999615550041193,1.0,18,0,"Q1
(low)"
3,shared,ACDC,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,3,8,2,4,0.9999858140945435,0.9991845488548279,0.9999858140945435,7.590440276317167e-08,0.999180793762207,1.3604382281489142e-17,0.0,29.09878921508789,37.03657531738281,29.09878921508789,27.110530853271484,7.590547955112822e-08,7.590440276317167e-08,0.999180793762207,-39.02483367919922,ok,0.9999857381901407,0.999180793762207,11,6,Q3
3,shared,ROMEtrace,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,5,5,0,0,1.0,0.9633888602256775,1.0,0.9999992847442627,0.004065599292516708,1.401298464324817e-45,1.9902073170207754e-25,19.06629180908203,20.71255874633789,19.06629180908203,13.506315231323242,0.9999992847442627,0.9999992847442627,0.004065599292516708,-26.27253532409668,ok,7.152557373046875e-07,0.004065599292516708,10,0,Q2
