dataset,method,condition,beta_kl,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,B_installed,A_displaced,A_displaced_frac
v3,ACDC,shared,0.1,0.9999610185623169,1.2310644040627872e-13,1.0,1.0,0.9999610185621938,0.9999999999998769
v3,ROMEtrace,shared,0.1,0.9995371103286743,0.9989907145500183,1.0,1.0,0.0005463957786560059,0.0005466488167471205
v3,Random,shared,0.1,0.9999980330467224,0.9999986886978149,0.999997079372406,0.999997079372406,0.0,0.0
v3,ACDC,shared,0.1,0.9912773966789246,2.843703157395794e-07,0.9999985694885254,0.9999985694885254,0.9912771123086088,0.9999997131274084
v3,ROMEtrace,shared,0.1,0.9775012731552124,0.6663076877593994,1.0,1.0,0.311193585395813,0.3183561944541837
v3,Random,shared,0.1,0.12446966022253036,6.59242964579955e-14,0.9748095870018005,0.9748095870018005,0.12446966022246445,0.9999999999994704
v3,ACDC,shared,0.1,0.9999964237213135,1.1142797195194416e-14,1.0,1.0,0.9999964237213024,0.9999999999999889
v3,ROMEtrace,shared,0.1,0.9999957084655762,1.5467339409269698e-08,9.88256587675096e-10,9.88256587675096e-10,0.9999956929982368,0.9999999845325942
v3,Random,shared,0.1,0.9999615550041199,5.372477462736627e-16,1.0,1.0,0.9999615550041193,0.9999999999999994
v3,ACDC,shared,0.1,0.9999858140945435,7.590440276317167e-08,0.999180793762207,0.999180793762207,0.9999857381901407,0.9999999240945204
v3,ROMEtrace,shared,0.1,1.0,0.9999992847442627,0.004065599292516708,0.004065599292516708,7.152557373046875e-07,7.152557373046875e-07
v3,Random,shared,0.1,1.0,0.9999998807907104,0.9996455907821655,0.9996455907821655,1.1920928955078125e-07,1.1920928955078125e-07
v3,ACDC,shared,0.1,0.28946977853775024,1.3702366225646907e-15,0.9999998807907104,0.9999998807907104,0.28946977853774886,0.9999999999999952
v3,ROMEtrace,shared,0.1,1.0,1.640337515193561e-18,1.0,1.0,1.0,1.0
v3,Random,shared,0.1,1.0,2.0411195371454536e-20,1.0,1.0,1.0,1.0
v3,ACDC,shared,0.1,0.9952477216720581,8.05799166340546e-26,1.0,1.0,0.9952477216720581,1.0
v3,ROMEtrace,shared,0.1,0.9992371797561646,6.213861136958255e-22,1.0,1.0,0.9992371797561646,1.0
v3,Random,shared,0.1,0.998206615447998,2.3208121431254972e-26,1.0,1.0,0.998206615447998,1.0
v3,ACDC,shared,0.1,0.9999459385871887,6.922080096616323e-13,1.0,1.0,0.9999459385864965,0.9999999999993078
v3,ROMEtrace,shared,0.1,0.9997144937515259,2.3445206279865127e-12,3.1268255042959936e-06,3.1268255042959936e-06,0.9997144937491813,0.9999999999976548
v3,Random,shared,0.1,0.9998646974563599,4.484204463735175e-22,1.0,1.0,0.9998646974563599,1.0
v3,ACDC,shared,0.1,0.9999996423721313,4.221253490662271e-15,0.9997304677963257,0.9997304677963257,0.9999996423721271,0.9999999999999958
v3,ROMEtrace,shared,0.1,0.9999998807907104,2.424291212221874e-09,0.9994666576385498,0.9994666576385498,0.9999998783664192,0.9999999975757085
v3,Random,shared,0.1,0.9999984502792358,8.241111514994265e-14,0.4282955229282379,0.4282955229282379,0.9999984502791535,0.9999999999999176
v3,ACDC,shared,0.1,0.9999988079071045,1.0,2.6378049277915976e-24,2.6378049277915976e-24,0.0,0.0
v3,ROMEtrace,shared,0.1,0.9999977350234985,0.9853222370147705,0.4558666944503784,0.4558666944503784,0.014675498008728027,0.014675531248461451
v3,Random,shared,0.1,0.9999998807907104,3.79777043146845e-10,0.9999974966049194,0.9999974966049194,0.9999998804109334,0.9999999996202229
v3,ACDC,shared,0.1,1.0,0.00010123733954969794,0.9775212407112122,0.9775212407112122,0.9998987626604503,0.9998987626604503
v3,ROMEtrace,shared,0.1,0.9999982118606567,0.10889776796102524,0.9999737739562988,0.9999737739562988,0.8911004438996315,0.8911020373142433
v3,Random,shared,0.1,1.0,1.5362387536664752e-14,1.0,1.0,0.9999999999999847,0.9999999999999847
v3,ACDC,shared,0.1,0.9977294206619263,3.80379105990869e-08,0.01553112268447876,0.01553112268447876,0.9977293826240157,0.9999999618755248
v3,ROMEtrace,shared,0.1,0.9987744688987732,0.026097046211361885,0.18187369406223297,0.18187369406223297,0.9726774226874113,0.9738709318029165
v3,Random,shared,0.1,0.9914520978927612,0.9764793515205383,0.0009538849117234349,0.0009538849117234349,0.0149727463722229,0.015101835382713974
v3,ACDC,shared,0.1,0.8072109818458557,1.4614776352143847e-15,1.0,1.0,0.8072109818458543,0.9999999999999982
v3,ROMEtrace,shared,0.1,0.9999993443489075,0.999896764755249,0.9999825954437256,0.9999825954437256,0.00010257959365844727,0.00010257966091491402
v3,Random,shared,0.1,0.9999917149543762,0.9996812343597412,1.0,1.0,0.00031048059463500977,0.0003104831670022138
v3,ACDC,shared,0.1,0.00012696179328486323,3.985270724538026e-10,0.8558189272880554,0.8558189272880554,0.00012696139475779078,0.9999968610472321
v3,ROMEtrace,shared,0.1,0.999994158744812,0.02368636429309845,2.1816678952291113e-07,2.1816678952291113e-07,0.9763077944517136,0.976313497347995
v3,Random,shared,0.1,0.0005223173066042364,0.1199793741106987,0.001361854374408722,0.001361854374408722,0.0,0.0
v3,ACDC,shared,0.1,0.3567391335964203,1.1740690364359097e-10,0.6427212357521057,0.6427212357521057,0.35673913347901337,0.9999999996708886
v3,ROMEtrace,shared,0.1,0.9999969005584717,7.603983631990219e-13,0.9761096239089966,0.9761096239089966,0.9999969005577113,0.9999999999992396
v3,Random,shared,0.1,1.0,4.613613297280682e-14,0.6561241149902344,0.6561241149902344,0.9999999999999538,0.9999999999999538
v3,ACDC,shared,0.1,0.9998210072517395,0.9516891241073608,0.0007305940962396562,0.0007305940962396562,0.04813188314437866,0.04814049994476641
v3,ROMEtrace,shared,0.1,0.9815141558647156,0.006476243492215872,9.197493454848882e-06,9.197493454848882e-06,0.9750379123724997,0.9934017828948067
v3,Random,shared,0.1,0.14380429685115814,1.1586573236854747e-05,0.8542476296424866,0.8542476296424866,0.1437927102779213,0.9999194281847583
v3,ACDC,disjoint,0.1,1.0,4.166371425640136e-08,0.9999699592590332,0.9999699592590332,0.9999999583362857,0.9999999583362857
v3,ROMEtrace,disjoint,0.1,1.0,1.0,0.9942655563354492,0.9942655563354492,0.0,0.0
v3,Random,disjoint,0.1,1.0,5.393340413623092e-16,1.0,1.0,0.9999999999999994,0.9999999999999994
v3,ACDC,disjoint,0.1,0.9999995231628418,1.2268988993160979e-13,1.0,1.0,0.9999995231627191,0.9999999999998773
v3,ROMEtrace,disjoint,0.1,0.9999911785125732,0.022200027480721474,0.0018130899406969547,0.0018130899406969547,0.9777911510318518,0.9777997766802876
v3,Random,disjoint,0.1,0.9999997615814209,5.954932247214579e-26,1.0,1.0,0.9999997615814209,1.0
v3,ACDC,disjoint,0.1,1.0,5.237142642298964e-13,3.012191435501651e-17,3.012191435501651e-17,0.9999999999994763,0.9999999999994763
v3,ROMEtrace,disjoint,0.1,0.9978099465370178,0.24574066698551178,0.9999954700469971,0.9999954700469971,0.752069279551506,0.7537199665744212
v3,Random,disjoint,0.1,3.314757579531147e-09,1.4678022184732957e-15,0.9999656677246094,0.9999656677246094,3.3147561117289283e-09,0.0033147561117289285
v3,ACDC,disjoint,0.1,0.999998927116394,3.8932173457295605e-11,0.0006319841486401856,0.0006319841486401856,0.9999989270774619,0.9999999999610678
v3,ROMEtrace,disjoint,0.1,0.9999588131904602,0.0001360163150820881,0.9999603033065796,0.9999603033065796,0.9998227968753781,0.9998639780826091
v3,Random,disjoint,0.1,0.9999938607215881,1.9919864369111195e-12,0.999997615814209,0.999997615814209,0.9999938607195962,0.999999999998008
v3,ACDC,disjoint,0.1,0.9999960064888,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0
v3,ROMEtrace,disjoint,0.1,1.0,0.9999993443489075,0.9999993443489075,0.9999993443489075,6.556510925292969e-07,6.556510925292969e-07
v3,Random,disjoint,0.1,0.9999998807907104,1.0,1.0,1.0,0.0,0.0
v3,ACDC,disjoint,0.1,0.9979169368743896,2.1541879959841026e-06,0.9999728202819824,0.9999728202819824,0.9979147826863937,0.9999978413153275
v3,ROMEtrace,disjoint,0.1,0.998940646648407,1.4038679552186295e-08,0.9998643398284912,0.9998643398284912,0.9989406326097274,0.9999999859464328
